,,,YEAR 2010,,,,,,,,,,,,,,,,,YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREA,INDICATORS,UOM,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,,SUM,AVG,,,,
Inbound,Number of trucks arrived,truck,97,113,88,76,120,100,105,107,79,95,116,119,102,111,113,88,23,0,102,109,90,105,106,95,102,104,117,85,120,105,116,91,113,96,103,132,132,151,137,131,113,94,113,88,109,100,107,94,125,123,123,,"5,283",103.59,,,,
,Number of purchase orders handled,purchase order,943,1135,1009,732,741,1059,1056,1181,879,1093,1025,1236,1352,1218,1011,495,290,0,1133,1303,1156,968,1073,1124,1037,1363,1038,1120,1450,982,1451,1281,1112,1109,1380,1627,1725,1823,1796,1292,1340,1796,920,1284,1155,1293,1451,1363,1437,1491,1788,,"60,116","1,178.75",,,,
,   Normal PO,purchase order,810,953,821,642,659,938,919,1069,781,971,906,1084,1186,1056,884,434,238,0,1010,1140,1000,846,950,976,882,1142,916,932,1196,826,1223,1075,905,931,1145,1331,1374,1433,1418,1034,1048,1393,786,1036,928,1006,1142,1095,1135,1186,1430,,"50,221",984.73,,,,
,   VMI and other PO,purchase order,133,182,188,90,82,121,137,112,98,122,119,152,166,162,127,61,52,0,123,163,156,122,123,148,155,221,122,188,254,156,228,206,207,178,235,296,351,390,378,258,292,403,134,248,227,287,309,268,302,305,358,,"9,895",194.02,,,,
,Number of purchase receipts handled,PO line,1328,1568,1524,1218,1293,1608,1716,1801,1280,1670,1431,1803,2029,1605,1563,682,354,0,1757,1934,1669,1397,1577,1627,1423,1734,1346,1525,2083,1717,1852,1660,1492,1428,1785,2078,2218,2339,2323,1816,1713,2288,1409,1573,1552,1824,3121,2605,2214,1925,2472,,"85,949","1,685.27",,,,
,    Receipt (+),PO line,1311,1568,1508,1219,1289,1604,1690,1775,1253,1646,1389,1783,2010,1600,1555,679,346,0,1746,1916,1656,1384,1537,1620,1422,1727,1340,1508,1984,1712,1840,1655,1488,1422,1781,2077,2214,2328,2317,1813,1712,2287,1406,1572,1544,1810,3117,2593,2206,1918,2468,,"85,345","1,673.43",,,,
,    Reverse Receipt or Correction (-),PO line,17,0,16,1,4,4,26,26,27,24,42,20,19,5,8,3,8,0,11,18,13,13,40,7,1,7,6,17,99,5,12,5,4,6,4,1,4,11,6,3,1,1,3,1,8,14,4,12,8,7,4,,606,11.88,,0.007100591716,,
,    Normal Receipts,PO line,1166,1350,1300,1107,1181,1444,1525,1656,1149,1466,1284,1581,1807,1385,1404,601,294,0,1603,1686,1484,1244,1422,1416,1220,1474,1195,1294,1773,1521,1593,1421,1270,1226,1507,1728,1815,1899,1876,1527,1391,1821,1270,1298,1291,1496,2766,2263,1863,1556,2035,,"73,944","1,449.88",,,,
,    VMI Receipts,PO line,155,210,216,101,92,157,180,145,128,200,146,219,221,219,156,81,54,0,152,248,179,149,151,210,202,258,149,229,308,194,257,234,216,199,278,350,403,440,442,289,321,463,134,274,259,327,353,319,348,360,437,,"11,812",231.61,,,,
,"    Other Receipts (samples, bolts, nuts, small staffs)",PO line,7,8,8,10,20,7,11,0,3,4,1,3,1,1,3,0,6,0,2,0,6,4,4,1,1,2,2,2,2,2,2,5,6,3,0,0,0,0,5,0,1,4,5,1,2,1,2,23,3,9,0,,193,3.78,,,,
,    w/ Customs clearance,PO line,296,420,364,273,382,377,594,521,347,366,361,492,560,514,539,204,138,0,566,328,261,307,334,302,370,426,393,430,568,469,515,401,372,398,409,521,481,449,558,453,382,524,332,332,416,373,488,366,406,387,492,,"20,557",403.08,,,,
,    w/o Customs clearance,PO line,1032,1148,1160,947,911,1231,1122,1280,933,1304,1070,1311,1469,1091,1024,478,216,0,1191,1606,1408,1090,1243,1325,1053,1308,953,1095,1515,1248,1337,1259,1120,1030,1376,1557,1737,1890,1765,1363,1331,1764,1077,1241,1136,1451,2633,2239,1808,1538,1980,,"65,394","1,282.24",,,,
,    w/ Inspection Required,PO line,15,12,10,27,13,12,10,9,12,11,15,9,8,22,10,5,3,0,18,24,17,31,23,13,14,19,20,19,10,23,29,13,18,10,17,34,24,37,35,47,14,67,32,27,37,211,1215,851,302,75,220,,"3,749",73.51,,,,
,    w/o Inspection Required,PO line,1313,1556,1514,1193,1280,1596,1706,1792,1268,1659,1416,1794,2021,1583,1553,677,351,0,1739,1910,1652,1366,1554,1614,1409,1715,1326,1506,2073,1694,1823,1647,1474,1418,1768,2044,2194,2302,2288,1769,1699,2221,1377,1546,1515,1613,1906,1754,1912,1850,2252,,"82,202","1,611.80",,,,
,Number of palettes handled,palette,1728,1931,1498,1265,2241,1894,1885,1904,1159,1563,1858,2343,1980,1730,1560,1431,123,0,2203,2115,1446,2407,2749,1492,1896,1996,1827,1678,2365,2069,2233,2224,2125,1866,2144,3290,2987,3154,2646,3231,2388,2175,2718,1897,2999,2591,2076,1818,2784,2961,2892,,"105,535","2,069.31",,,,
,Number of Hot Part Requests handled,PO line,11,11,22,10,24,19,18,23,17,8,14,19,14,23,12,4,2,0,7,22,31,20,14,24,17,11,21,19,18,5,6,6,7,1,13,21,24,19,30,28,27,9,12,1,22,10,13,16,16,8,15,,764,14.98,,,,
WHS bldg / Internal replenishment and warehousing activities,Putaways and location changes (includes HighValue Parts),package,2484,2427,2570,2070,4779,3095,3377,5251,2531,3681,2927,3517,2864,2378,2938,1818,1168,51,3483,3033,2676,2279,2635,2377,2824,2903,2684,2702,2980,3206,3451,2894,2640,2452,3011,3333,3862,3651,3303,3356,2468,2681,2541,2428,2394,2508,2882,2216,3541,2652,3749,,"145,721","2,857.27",,,,
,   via subinventory transfer from MFGRECEIVE to MFGHUB,package,1593,1617,1625,969,1684,2022,2093,2385,1309,1747,1120,1290,1247,1192,1314,638,131,0,1257,1229,1076,1029,1334,997,1003,1289,925,1038,1297,1361,1355,1099,921,799,965,1355,1201,1401,1480,1367,860,1174,912,784,875,873,1043,893,1104,1161,1379,,"60,812","1,192.39",,,,
,   via subinventory transfer between warehouse locations (inside MFGHUB),package,556,544,584,748,2865,713,863,2363,915,1391,1085,762,385,497,643,278,419,51,748,492,601,221,204,202,399,441,583,493,378,237,413,415,304,342,419,340,649,308,223,251,140,152,234,225,85,278,447,302,402,252,386,,"27,228",533.88,,,,
,   via move order transfer,package,335,266,361,353,230,360,421,503,307,543,722,1465,1232,689,981,902,618,0,1478,1312,999,1029,1097,1178,1422,1173,1176,1171,1305,1608,1683,1380,1415,1311,1627,1638,2012,1942,1600,1738,1468,1355,1395,1419,1434,1357,1392,1021,2035,1239,1984,,"57,681","1,131.00",,,,
,Packages handled to/from DMC (Damaged Materials Collection),package,144,213,204,74,212,358,256,201,317,473,300,266,311,574,476,770,423,0,1037,383,304,250,203,305,383,265,365,344,335,67,304,299,200,198,278,265,255,451,230,249,355,448,118,350,234,309,236,319,266,256,163,,"15,596",305.80,,,,
