"","Number of trucks arrived","Number of purchase orders handled","   Normal PO","   VMI and other PO","Number of purchase receipts handled","    Receipt (+)","    Reverse Receipt or Correction (-)","    Normal Receipts","    VMI Receipts","    Other Receipts (samples, bolts, nuts, small staffs)","    w/ Customs clearance","    w/o Customs clearance","    w/ Inspection Required","    w/o Inspection Required","Number of palettes handled","Number of Hot Part Requests handled","Putaways and location changes (includes HighValue Parts)","   via subinventory transfer from MFGRECEIVE to MFGHUB","   via subinventory transfer between warehouse locations (inside MFGHUB)","   via move order transfer","Packages handled to/from DMC (Damaged Materials Collection)","   to/from high racks","   to/from other locations","   back to MFGHUB","Packages handled from production (returned parts)","Packages handled for export purposes (send to sisterplants)","Number of replenishment orders from warehouse to Supermarket at production building","   via subinventory transfer","   via kanban card scan","Number of replenishment orders to Pickface","   via subinventory transfer.1","   via kanban card scan.1","Total orders managed"," Piece picking orders"," Full package orders","   Pickface pickings","   Supermarket Bin Cycles","   Secured (HighValue) material orders","   Kardex Orders","   Direct orders from MFGHUB to Production","     via subinventory transfer","     via kanban card scan","Orders placed via Material Toolbox (inhouse developed order system)","Number of supplier bins sent back to suppliers","Number of quality claims to warehouse damage","Number of cycle counted items (based on cycle count policy)","Number of geographically counted items (based on warehouse internal policy)","Waste management - number of containers managed","Number of location change requests handled","MFGFG receipts from production","MFGFG putaways","MFGFG location changes","Total quantity handled","   Total shipped Type#1 Production units","   Total shipped Type#2 production units","   Total shipped other units (Kits, samples)","Total number of trucks handled","Pick from Kardex to Line","Pick from Secured Kardex to Line","Receipt to DMC Collection Point CP","Material movement to a specific production area (kit building, spareparts kitting) or location change (materials relocation in wharehouse)","Receipt from DMC to production line"
"W36",97,943,810,133,1328,1311,17,1166,155,7,296,1032,15,1313,1728,11,2484,1593,556,335,144,0,134,10,100,128,421,209,212,977,595,382,5996,4988,1008,2530,2325,113,668,360,133,227,212,0,0,1464,4780,0,0,518,557,54,638,486,44,108,41,1178,460,155,327,11
"W37",113,1135,953,182,1568,1568,0,1350,210,8,420,1148,12,1556,1931,11,2427,1617,544,266,213,0,211,2,74,36,436,217,219,1189,754,435,7165,5545,1620,3456,1844,180,1022,663,245,418,244,0,3,1903,2630,0,0,735,638,49,679,391,75,213,35,1720,509,180,273,21
"W38",88,1009,821,188,1524,1508,16,1300,216,8,364,1160,10,1514,1498,22,2570,1625,584,361,204,0,199,5,48,28,258,127,131,1156,758,398,6197,4347,1850,3401,788,183,1189,636,158,478,255,0,1,3425,3234,0,0,715,604,5,1148,1018,99,31,73,2100,503,222,212,29
"W39",76,732,642,90,1218,1219,1,1107,101,10,273,947,27,1193,1265,10,2070,969,748,353,74,0,57,17,24,0,127,48,79,368,232,136,2188,1560,628,1269,249,41,402,227,42,185,103,0,1,1745,2450,0,0,232,292,471,923,221,24,678,21,642,212,126,138,5
"W40",120,741,659,82,1293,1289,4,1181,92,20,382,911,13,1280,2241,24,4779,1684,2865,230,212,0,191,21,43,32,81,26,55,372,265,107,2348,1764,584,1341,256,108,343,300,167,133,99,0,0,3312,2795,0,0,339,514,76,892,460,70,362,38,693,262,148,95,8
"W41",100,1059,938,121,1608,1604,4,1444,157,7,377,1231,12,1596,1894,19,3095,2022,713,360,358,0,334,24,189,67,202,84,118,1064,699,365,5435,3875,1560,3399,285,148,1044,559,191,368,255,0,0,1990,2465,0,0,543,548,25,406,331,45,30,32,1895,446,247,363,28
"W42",105,1056,919,137,1716,1690,26,1525,180,11,594,1122,10,1706,1885,18,3377,2093,863,421,256,0,237,19,89,180,220,87,133,1077,624,453,6052,4561,1491,3600,563,149,995,745,398,347,236,0,0,3426,2697,0,0,660,697,29,947,641,122,184,55,1767,475,237,654,23
"W43",107,1181,1069,112,1801,1775,26,1656,145,0,521,1280,9,1792,1904,23,5251,2385,2363,503,201,0,193,8,154,129,150,45,105,926,541,385,5627,4268,1359,3554,397,121,972,583,317,266,192,0,1,1923,3278,0,0,705,724,38,611,361,129,121,33,1946,403,195,659,29
"W44",79,879,781,98,1280,1253,27,1149,128,3,347,933,12,1268,1159,17,2531,1309,915,307,317,0,297,20,169,61,130,49,81,830,468,362,5448,4115,1333,3375,468,128,875,602,272,330,214,0,4,1790,602,0,0,532,480,69,603,371,56,176,34,1615,406,191,242,18
"W45",95,1093,971,122,1670,1646,24,1466,200,4,366,1304,11,1659,1563,8,3681,1747,1391,543,473,0,433,40,113,72,171,65,106,1148,701,447,6484,4889,1595,4207,473,141,1026,637,209,428,239,0,2,3777,2264,0,0,774,959,198,1589,589,111,889,53,2107,476,247,141,32
